na,canvas,confidence,area_km2,reg_voters_form47,title_form47,method,note
NA-2,C001_Swat,medium,4330,,,composition: tehsil+capacity-split,Wikipedia+electionpakistani: NA-2 Bahrain/Khwazakhela/Charbagh + part Babuzai; NA-4 Matta + most of Kabal. Which side of Babuzai/Kabal is inferred from contiguity.
NA-3,C001_Swat,medium,911,462681,Swat-II,composition: tehsil+capacity-split,Wikipedia+electionpakistani: NA-2 Bahrain/Khwazakhela/Charbagh + part Babuzai; NA-4 Matta + most of Kabal. Which side of Babuzai/Kabal is inferred from contiguity.
NA-4,C001_Swat,medium,1131,,,composition: tehsil+capacity-split,Wikipedia+electionpakistani: NA-2 Bahrain/Khwazakhela/Charbagh + part Babuzai; NA-4 Matta + most of Kabal. Which side of Babuzai/Kabal is inferred from contiguity.
NA-6,C003_LowerDir,medium,1021,457075,Lower Dir-I,composition: tehsil+capacity-split,"NUMBERS TRANSPOSED vs 2018: the southern Jandool/Maidan seat was NA-7 in 2018, is NA-6 in 2023. Confirmed by winner swap (Bashir Khan NA-7 2018 -> NA-6 2024) and by Form-47 electorate 457,075 matching the southern seat."
NA-7,C003_LowerDir,medium,916,,,composition: tehsil+capacity-split,"NUMBERS TRANSPOSED vs 2018: the southern Jandool/Maidan seat was NA-7 in 2018, is NA-6 in 2023. Confirmed by winner swap (Bashir Khan NA-7 2018 -> NA-6 2024) and by Form-47 electorate 457,075 matching the southern seat."
NA-14,C010_Mansehra_Torghar,medium,3942,,,composition: tehsil+capacity-split,"Wikipedia NA-15 infobox (electorate 645,049 == Form-47) = Oghi+Darband+Tanawal+part Baffa+part Mansehra + Torghar district. NA-14 = Balakot + Mansehra city/Baffa bulk."
NA-15,C010_Mansehra_Torghar,medium,1578,645049,Mansehra-cum-Torghar,composition: tehsil+capacity-split,"Wikipedia NA-15 infobox (electorate 645,049 == Form-47) = Oghi+Darband+Tanawal+part Baffa+part Mansehra + Torghar district. NA-14 = Balakot + Mansehra city/Baffa bulk."
NA-16,C011_Abbottabad,high,1028,,,composition: tehsil+capacity-split,"ECP-sourced (APP/Pakistan Observer 4-5 Dec 2023): NA-16 = Havelian, Lora, Bokot, Bagan, Mirpur Cantt, Galyat; NA-17 = Lower Tanawal + Abbottabad tehsil. Galyat/Bakot = the SE hill belt of the Abbottabad polygon."
NA-17,C011_Abbottabad,high,799,398195,Abbottabad-II,composition: tehsil+capacity-split,"ECP-sourced (APP/Pakistan Observer 4-5 Dec 2023): NA-16 = Havelian, Lora, Bokot, Bagan, Mirpur Cantt, Galyat; NA-17 = Lower Tanawal + Abbottabad tehsil. Galyat/Bakot = the SE hill belt of the Abbottabad polygon."
NA-19,C013_Swabi,high,932,,,composition: tehsil+capacity-split,"Verbatim ECP final list: NA-19 = Topi + Swabi tehsils + Patwar Circles Kunda Jabba, Anbar, Kunda Mera, Hund of Lahor Qanungo Halqa; NA-20 = Razar + rest of Lahor. Hund is on the Indus => NA-19 takes the eastern/river slice."
NA-20,C013_Swabi,high,819,,,composition: tehsil+capacity-split,"Verbatim ECP final list: NA-19 = Topi + Swabi tehsils + Patwar Circles Kunda Jabba, Anbar, Kunda Mera, Hund of Lahor Qanungo Halqa; NA-20 = Razar + rest of Lahor. Hund is on the Indus => NA-19 takes the eastern/river slice."
NA-21,C014_Mardan,medium,1030,,,composition: tehsil+capacity-split,"geoBoundaries MARDAN polygon = pre-2022 Mardan tehsil = todays Mardan(335km2)+Garhi Kapura(143)+Rustam(379). NA-21 takes Rustam(N), NA-22 Garhi Kapura(E)+Mardan city, NA-23 the rural SW remainder + southern Takht Bhai."
